year,n_games,mean_cross_harm,sd_cross_harm,chroma_mean,rhythm_mean
2000,951,364.8520396286994,138.88034961352216,"[102.24027339642481, 0.3407630341462681, 0.27942009684274294, 1.3585396222994428, 0.28745439259225325, 0.24744474323815338, 0.21218256368145005, 0.14829722347779667, 0.10462107701034662]","[0.2157665638505597, 0.0750234498175469, 0.09613911732285829, 0.08341776714876205, 0.42427085633284795, 0.444973351803374, 0.345810259806465, 0.36603798984019487, 0.3458198254560607, 0.5356922376807511, 0.018434050089588747, -0.020702495470526047]"
2001,903,371.5187243398352,135.8782682839412,"[104.06095364094385, 0.3467830042253401, 0.28387785921445696, 1.3807393256134937, 0.2792596778138628, 0.2422955579033371, 0.21826306410678456, 0.1515568050619566, 0.10862489511405898]","[0.2149166624802177, 0.07423713459706935, 0.09535690463042534, 0.08236730706001745, 0.42784708575796654, 0.4486491434763095, 0.348278327580656, 0.3693306448120744, 0.3451257665272105, 0.5360375954799592, 0.019849230704004177, -0.02080205771834295]"
2002,972,368.89491285377375,137.21094758483602,"[103.34418272651608, 0.34438625287507024, 0.2822376087342104, 1.3740407411526165, 0.2834978294041561, 0.24219648238408564, 0.21629249673069517, 0.1511980214936814, 0.1068151699873817]","[0.21338966619036612, 0.07435138576528136, 0.09533577292038686, 0.08233288877417466, 0.4283876647437664, 0.4493333050187467, 0.3477879207112591, 0.3690657074042784, 0.3462571137606586, 0.5364147376697748, 0.018449515607141528, -0.02094564027498032]"
2003,905,383.10784170458516,139.61164041868335,"[106.4475138121547, 0.3546458851550779, 0.28990509157642164, 1.4096908666453691, 0.2654177271625337, 0.2470026695958596, 0.22052283664028538, 0.1507638795473233, 0.11629288705399804]","[0.21632842366591692, 0.07412530553783203, 0.09475079184035984, 0.08231952023398242, 0.43222236403981656, 0.45396750739367653, 0.3498725608401699, 0.3723154585682902, 0.34708578172254495, 0.5388908268531273, 0.018509518378190662, -0.021745143353859984]"
2004,951,376.4668278060705,129.6923098262984,"[105.45373291272345, 0.3514480817420688, 0.287197237979986, 1.4002740867537016, 0.2639215469048023, 0.25026919332236913, 0.22200511562369538, 0.15462258366864706, 0.10918156048048612]","[0.2164467002895042, 0.07425485236507107, 0.09524223303422519, 0.0825065535100037, 0.42702063681839647, 0.4500399206456555, 0.34619489832371375, 0.3705750372462425, 0.3463494456587868, 0.53765158178254, 0.02029009310879859, -0.02301928382725902]"
2005,980,381.1688260888082,135.06980178459636,"[106.50867346938776, 0.35487483238577583, 0.290351975366446, 1.4127208344613884, 0.2606447714610948, 0.24942852967053664, 0.22438471602801288, 0.1515729144840757, 0.11396906835627998]","[0.21632982842146714, 0.0739861610468841, 0.09501075262216968, 0.0820673983184056, 0.4293509777423454, 0.45087778397029277, 0.34704744680204624, 0.3708566613033736, 0.3478398687987974, 0.5389825930386289, 0.02031854955873262, -0.021526806227947403]"
2006,1241,383.38400352974725,132.69855344857282,"[106.90854866147373, 0.3562232421522572, 0.29114094468133855, 1.4176231811665054, 0.25893747097662667, 0.24973401884937924, 0.2209770130284003, 0.1550732075690119, 0.1152782895765818]","[0.2172504752055439, 0.07388160940497125, 0.09489513099728888, 0.08207760431204646, 0.4315013235404967, 0.45350702538998733, 0.3489822772559691, 0.3729255717088027, 0.34744646723598066, 0.5386440887734716, 0.02094732372026875, -0.022005701849490668]"
2007,1288,384.53293693116444,132.586738360662,"[107.01902173913044, 0.3566233502655241, 0.29158266545926265, 1.4202727688230148, 0.2571709640212541, 0.24956790322165165, 0.22564145043530967, 0.1522935577886121, 0.11532612453317247]","[0.21665272715373485, 0.07383634852151341, 0.09479641121855822, 0.08205139132855689, 0.432248615255936, 0.4532276523756342, 0.349619443910231, 0.372079670403109, 0.3480064221744108, 0.5389535961345691, 0.020899346408553513, -0.02097903711969824]"
2008,1514,381.9967095386817,136.9479925103368,"[106.05093560426313, 0.3533852029175579, 0.28882752056200506, 1.406461653959646, 0.26375522333090523, 0.2503837882709686, 0.2209967976174843, 0.1515249551925842, 0.11333923558805767]","[0.21661587510786964, 0.07393400818057787, 0.09486586161425736, 0.08253964840112894, 0.4327854530598809, 0.4537032358071849, 0.3503914158189543, 0.3740651774001864, 0.3471607866819688, 0.53916510694924, 0.020323749824742415, -0.020917782747304017]"
2009,1406,373.10506246253846,130.6863130272645,"[104.49431296746661, 0.3481767673398388, 0.28459471026220634, 1.388145594392011, 0.2634843496892249, 0.25531831523317533, 0.22900803967878466, 0.1488592433716142, 0.10333005202720083]","[0.21733526926652516, 0.07454311499519724, 0.0955766373997947, 0.08346681234830727, 0.4254931808356326, 0.4479991046046922, 0.3444636211403347, 0.3699054357299893, 0.3495947223439884, 0.5400660767455514, 0.020091914033173394, -0.022505923769059626]"
2010,1433,383.40044254492875,128.67325254658027,"[106.85276551780389, 0.3560643647504618, 0.29076591336919366, 1.4190907540530742, 0.2547645891074255, 0.2521808958750345, 0.2247983962263812, 0.15642724326346816, 0.11182887552769068]","[0.21870446244888395, 0.07401957680855711, 0.09472532636703064, 0.08296774151396052, 0.4302663082673637, 0.45226592928884346, 0.34749020737733044, 0.3732910483992204, 0.3498411765790841, 0.541315784360238, 0.019390309177746742, -0.021999621021479822]"
2011,1365,373.7558867706569,129.57154399386528,"[104.73919413919414, 0.3490025188117541, 0.2851262860163771, 1.3925900840298584, 0.26096219197822457, 0.25758946595950166, 0.2258789860741397, 0.15207638029259518, 0.10349297569553885]","[0.21839958492703437, 0.07468809223645596, 0.09553516837650705, 0.0840714618500719, 0.4252851371169038, 0.44731681952932717, 0.3441428455784285, 0.37004160084534643, 0.3494136026681522, 0.5408459799384767, 0.019754513165952392, -0.02203168241242336]"
2012,1628,384.67830591212737,134.83388544575823,"[106.88667076167076, 0.3560896992321003, 0.29033476303234773, 1.412774855194227, 0.2570321533744837, 0.25030547815389415, 0.22765855505019145, 0.15236464467055422, 0.11263916875087648]","[0.21820192954724563, 0.07401241965520204, 0.09484232305706995, 0.08310624815246279, 0.43104911968170856, 0.4538137434992588, 0.34756430193282206, 0.37571930253819874, 0.34909437530058657, 0.540092241890185, 0.01895430867907641, -0.022764623817550265]"
2013,1457,383.70280342340163,127.05432522622638,"[106.9070006863418, 0.3561890847980785, 0.2906890243161427, 1.4194729348155792, 0.2543590995062893, 0.24941475087532597, 0.22806199694593415, 0.15901264618132108, 0.10915150649112947]","[0.2174644080709164, 0.07391992674173392, 0.09465066738423837, 0.08280088471327396, 0.43206781148652407, 0.4553484441152501, 0.3481901518579753, 0.3765823380861553, 0.3486522620513683, 0.5399620292348482, 0.019837570275731985, -0.023280632628726018]"
2014,1888,376.13775224502655,127.90246695044846,"[105.1708156779661, 0.35046342810099707, 0.286004196991181, 1.3955942102698695, 0.25951510811709855, 0.254967241018815, 0.22874023975888916, 0.15322259474670263, 0.10355481635849463]","[0.21586694899220188, 0.07402457171618339, 0.09508126415603439, 0.08290279682859852, 0.4290363560541315, 0.4528738372811201, 0.34615655713368787, 0.37547428994127624, 0.3484782199091007, 0.5399398497761313, 0.020948667985604526, -0.023837481226988665]"
2015,1911,376.4073435013748,126.26208976928511,"[105.29016221873364, 0.35081906775131644, 0.28624447379957146, 1.3975875867144485, 0.25746594508481707, 0.2554725236326421, 0.22970032886749953, 0.15503956027384858, 0.1023216421411927]","[0.21594700623778132, 0.07406064088340697, 0.0950676734998197, 0.082888442811804, 0.4283744459463119, 0.4523906457261477, 0.3454388335274483, 0.37519683402896725, 0.35055957436853785, 0.5409233865608583, 0.020370652881947695, -0.02401619977983571]"
2016,2385,369.7612211485516,133.3659922139456,"[103.29807983606571, 0.34417333408968315, 0.2809401076228588, 1.3690217987784075, 0.2689776970035391, 0.25970478675348824, 0.2233032056292714, 0.1482447860178292, 0.09976952459587214]","[0.21599092834483055, 0.0746793232459165, 0.09611401641976061, 0.08362921579043156, 0.42709586214466483, 0.45017478093701546, 0.34456512669546335, 0.3743105584296617, 0.35235285202385963, 0.543352212850756, 0.020587804987849158, -0.023078918792350647]"
2017,2456,373.6738005973385,132.34003405615482,"[104.9910080087368, 0.34968421870644734, 0.2854860462783638, 1.3915064495082838, 0.25968147686992654, 0.2561634352971692, 0.2308537314997158, 0.151494628380315, 0.10180672795287349]","[0.21609686418199467, 0.0739657100489377, 0.09530912836814098, 0.08286552764134536, 0.42501132290148186, 0.4491718840064967, 0.34290943901143883, 0.3738983283714061, 0.3485098697302948, 0.5388759743684975, 0.020793299252414587, -0.0241605611050149]"
2018,2026,377.8306613718983,127.82227333839366,"[105.94891411648568, 0.35302607266879144, 0.28825151040960734, 1.406076384043787, 0.25557209675481474, 0.25410984343523224, 0.23086974206301542, 0.1540605257488054, 0.10538779199813218]","[0.21458424297234102, 0.07334495390007344, 0.09436611349206168, 0.08170272533023881, 0.42811684502888286, 0.45374207252557286, 0.3452221981085747, 0.3773790613225393, 0.34925202435019553, 0.5383760850913896, 0.02039510767872713, -0.02562522749668997]"
2019,2161,375.8201433254688,128.4295207514078,"[105.64460897732532, 0.3519900662603117, 0.2873213889557161, 1.4018334065206002, 0.25609082415855156, 0.2545823174388715, 0.23221670538783054, 0.15387132373075757, 0.10323882928398881]","[0.21475331348774665, 0.07343494955619047, 0.09444090600502007, 0.08145701085594753, 0.4257968210565179, 0.4512869700854196, 0.3441975046287813, 0.37551397171650547, 0.34823772461982977, 0.5372137097104615, 0.02034809574341847, -0.025490149028901784]"
2020,2448,376.105625680503,129.2437720593622,"[105.67075163398692, 0.35210208274448523, 0.287614433463612, 1.402599283384421, 0.257122721138801, 0.254334484783812, 0.23002239789508627, 0.15406939554377538, 0.10445100063852536]","[0.21593868006150152, 0.07362390047830387, 0.09459772543638394, 0.08188620345286154, 0.42544990362764296, 0.4507501186656154, 0.3442463923074674, 0.37482474296609286, 0.3461803721178568, 0.535556819551227, 0.022355579600630247, -0.025300215037972355]"
2021,2172,380.45282209105545,129.2339841980038,"[106.47053578152492, 0.3546710673891218, 0.28994934419429863, 1.4135339852401065, 0.2546698640647257, 0.2520942265249638, 0.22887229707329043, 0.15804250046277335, 0.10632111187424673]","[0.21683538817540665, 0.07346980513329956, 0.09429252137358618, 0.08167664890998783, 0.42829278266929266, 0.4525902753768499, 0.34593783147113993, 0.37504819120593746, 0.3478695322870726, 0.5374699908666568, 0.02211128113879502, -0.024297492707557263]"
2022,2143,377.89158691254295,127.98223283081599,"[105.89290868980828, 0.3528448108881072, 0.2886645218430401, 1.4087258502226323, 0.25598312051142, 0.25310893290629205, 0.23109910079712548, 0.15499161089246324, 0.10481723489269924]","[0.21573222067350303, 0.07364096208983363, 0.09457061882375321, 0.08175873102735029, 0.4262421910164815, 0.45157969957955374, 0.3446693447496088, 0.37351036618207434, 0.34904032422380055, 0.5385449801878616, 0.02226040304904317, -0.0253375085630722]"
2023,2345,381.56918624095925,123.74759670617235,"[106.96588486140725, 0.3564068843597591, 0.29135796672870895, 1.4222184847379757, 0.2505160970056785, 0.24995267818887018, 0.23296019853628858, 0.16198919735098877, 0.10458182891817391]","[0.21574953656413692, 0.07327889106350052, 0.09407741961860396, 0.08149640281281394, 0.4286308661772807, 0.4533842051584252, 0.34559883118151874, 0.375916720591623, 0.3490613255412522, 0.5380374321019865, 0.022409688271043567, -0.02475333898114453]"
2024,2398,384.689036698558,127.70671641518513,"[107.40680059333728, 0.3578708220281662, 0.29237552211690415, 1.4257451604818383, 0.2515745299428975, 0.24936974480080396, 0.2302742486468964, 0.15881036099687443, 0.10997111561252777]","[0.21648364745087884, 0.07336634772192026, 0.09421866571100113, 0.08160500566830697, 0.42982808148125234, 0.4555986363764524, 0.3463917730826938, 0.3771499113320143, 0.3485499146023705, 0.5381406430898718, 0.02210873365886309, -0.025770554895200092]"
2025,2273,386.3456349027143,126.48056116497942,"[107.65486141663, 0.3587119948418798, 0.2931165270267639, 1.4302704569227989, 0.25067000476948004, 0.2488475670785824, 0.22901595032278882, 0.16052150323880401, 0.1109449745903447]","[0.21735619863566125, 0.0732251275274295, 0.0938967189907317, 0.08161946859988829, 0.43134658761661165, 0.4565273403728677, 0.34801815300186967, 0.3771224881023012, 0.3490719432950947, 0.5390230294493036, 0.022473916072002737, -0.025180752756256003]"
2026,768,375.6926399206662,126.58977810132465,"[105.66145833333333, 0.35203385053160957, 0.2878232623488691, 1.405035555208693, 0.2559907800364093, 0.2533668025768991, 0.23231527132930038, 0.1560964129966371, 0.10223073306075414]","[0.21722072201239687, 0.07393556671836835, 0.09478398867100861, 0.08243016870529664, 0.4238337590868148, 0.44960618744042274, 0.34182088134393956, 0.37401486067745376, 0.3468402888235562, 0.5372054561932704, 0.022612910454727218, -0.025772428353607987]"
